Category,Sub Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Amphibians,Frog,Myobatrachidae,Crinia,parinsignifera,Plains Froglet ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Crinia,signifera,Common Eastern Froglet ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Limnodynastes,peronii,Brown-striped Frog ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Limnodynastes,tasmaniensis,Spotted Grass Frog ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Litoria,peronii,Peron's Tree-frog ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Litoria,verreauxii,Whistling Tree-frog ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Neobatrachus,sudelli,Spotted Burrowing Frog ,Yes,Unknown,CNM,
Amphibians,Frog,Myobatrachidae,Uperoleia,laevigata,Smooth Toadlet ,Yes,Unknown,CNM,
Bird,Colonial Nester,Ardeidae,Ardea,pacifica,White-necked Heron,Yes,Uncommon,Group,
Bird,Colonial Nester,Ardeidae,Bubulcus,ibis,Cattle Egret ,Yes,Unknown,CNM,
Bird,Colonial Nester,Ardeidae,Egretta,novaehollandiae,White-faced Heron,Yes,Common,Group,
Bird,Colonial Nester,Phalacrocoracidae,Microcarbo,melanoleucos,Little Pied Cormorant,Yes,Common,Group,
Bird,Colonial Nester,Ardeidae,Nycticorax,caledonicus,Nankeen Night-Heron,Yes,Uncommon,Group,
Bird,Colonial Nester,Pelecanidae,Pelecanus,conspicillatus,Australian Pelican ,Yes,Unknown,CNM,
Bird,Colonial Nester,Threskiornithidae,Threskiornis,spinicollis,Straw-necked Ibis,Yes,Common,Group,
Bird,Cuckoo,Cuculidae,Cacomantis,flabelliformis,Fan-tailed Cuckoo,Yes,Rare,Group,
Bird,Cuckoo,Cuculidae,Cacomantis,pallidus,Pallid Cuckoo,Yes,Rare,Group,
Bird,Cuckoo,Cuculidae,Chalcites,basalis,Horsfields Bronze-Cuckoo,Yes,Rare,Group,
Bird,Cuckoo,Cuculidae,Chalcites,lucidus,Shining Bronze-Cuckoo,Yes,Rare,Group,
Bird,Cuckoo,Cuculidae,Eudynamys,orientalis,Eastern Koel ,Yes,Unknown,CNM,
Bird,Cuckoo,Cuculidae,Scythrops,novaehollandiae,Channel-billed Cuckoo ,Yes,Unknown,CNM,
Bird,Honeyeater,Meliphagidae,Acanthorhynchus,tenuirostris,Eastern Spinebill,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Anthochaera,phrygia,Regent Honeyeater ,Yes,Unknown,CNM,
Bird,Honeyeater,Meliphagidae,Caligavis,chrysops,Yellow-faced Honeyeater ,Yes,Unknown,CNM,
Bird,Honeyeater,Meliphagidae,Lichenostomus,chrysops,Yellow-faced Honeyeater,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Lichenostomus,fuscus,Fuscous Honeyeater,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Lichenostomus,leucotis,White-eared Honeyeater,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Lichenostomus,penicillatus,White-plumed Honeyeater,Yes,Rare,Group,
Bird,Honeyeater,Meliphagidae,Manorina,melanocephala,Noisy Miner,Yes,Rare,Group,"<a href=""news/Dec12.pdf"">December 2012</a>"
Bird,Honeyeater,Meliphagidae,Melithreptus,brevirostris,Brown-headed Honeyeater,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Melithreptus,lunatus,White-naped Honeyeater,Yes,Rare,Group,
Bird,Honeyeater,Meliphagidae,Philemon,corniculatus,Noisy Friarbird,Yes,Common,Group,
Bird,Honeyeater,Meliphagidae,Phylidonyris,novaehollandiae,New Holland Honeyeater,Yes,Uncommon,Group,
Bird,Honeyeater,Meliphagidae,Phylidonyris,pyrrhopterus,Crescent Honeyeater,Yes,Common,Group,
Bird,Large Birds,Corcoracidae,Corcorax,melanorhamphos,White-winged Chough,Yes,Common,Group,
Bird,Large Birds,Corvidae,Corvus,coronoides,Australian Raven,Yes,Common,Group,"<a href=""news/Jan09.pdf"">January 2009</a>"
Bird,Large Birds,Corvidae,Corvus,mellori,Little Raven,Yes,Common,Group,
Bird,Large Birds,Artamidae,Cracticus,tibicen,Australian Magpie,Yes,Common,Group,
Bird,Large Birds,Alcedinidae,Dacelo,novaeguineae,Laughing Kookaburra,Yes,Common,Group,
Bird,Large Birds,Ptilonorhynchidae,Ptilonorhynchus,violaceus,Satin Bowerbird,Yes,Common,Group,
Bird,Large Birds,Artamidae,Strepera,graculina,Pied Currawong,Yes,Common,Group,
Bird,Large Birds,Artamidae,Strepera,versicolor,Grey Currawong ,Yes,Unknown,CNM,
Bird,Medium Birds,Motacillidae,Anthus,novaeseelandiae,Australian Pipit,Yes,Rare,Group,
Bird,Medium Birds,Artamidae,Artamus,cyanopterus,Dusky Woodswallow,Yes,Rare,Group,
Bird,Medium Birds,Artamidae,Artamus,superciliosus,White-browed Woodswallow,Yes,Uncommon,Group,
Bird,Medium Birds,Anatidae,Chthonicola,sagittata,Speckled Warbler,Yes,Uncommon,Group,
Bird,Medium Birds,Acanthizidae,Cincloramphus,mathewsi,Rufous Songlark,Yes,Rare,Group,
Bird,Medium Birds,Pachycephalidae,Colluricincla,harmonica,Grey Shrike-thrush,Yes,Common,Group,
