Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Cimber / Mistletoe,Loranthaceae,Amyema,miquelii,Box Mistletoe,Yes,Unknown,Group,
Cimber / Mistletoe,Loranthaceae,Muellerina,eucalyptoides,Creeping Mistletoe,Yes,Unknown,Group,"<a href=""news/Oct11.pdf"">October 2011</a><br><a href=""news/Jun15.pdf"">June 2015</a>"
Climber / Mistletoe,Apocynaceae,Araujia*,sericifera,"Moth Vine, Mothplant",No,Unknown,Group,"<a href=""news/Sep15.pdf"">September 2015</a>"
Climber / Mistletoe,Lauraceae,Cassytha,pubescens,"Dodder, Devil's Twine",Yes,Unknown,Group,
Climber / Mistletoe,Ranunculaceae,Clematis,microphylla v. leptophylla,Small-leafed Clematis,Yes,Unknown,Group,"<a href=""news/Oct14.pdf"">October 2014</a>"
Climber / Mistletoe,Convolvulaceae,Convolvulus,angustissimus,Native Bindweed,Yes,Unknown,Group,
Climber / Mistletoe,Caprifoliaceae,Lonicera*,japonica,Honeysuckle,No,Unknown,Group,
Climber / Mistletoe,Vitaceae,Vitis*,sp,Grape,No,Unknown,Group,
Daisy,Asteraceae,Arctotheca*,calendula,Capeweed,No,Unknown,Group,
Daisy,Asteraceae,Brachyscome,spathulata,Spoon Daisy,Yes,Unknown,Group,
Daisy,Asteraceae,Calotis,lappulacea,Yellow Burr Daisy,Yes,Unknown,Group,"<a href=""news/Apr14.pdf"">April 2014</a>"
Daisy,Asteraceae,Carduus*,pycnocephalus,Slender Thistle,No,Unknown,Group,
Daisy,Asteraceae,Carthamus*,lanatus,Saffron Thistle,No,Unknown,Group,
Daisy,Asteraceae,Carthamus*,tinctorius,Safflower,No,Unknown,Group,
Daisy,Asteraceae,Cassinia,aculeata,Dolly Bush,Yes,Unknown,Group,
Daisy,Asteraceae,Cassinia,longifolia,Shiny Cassinia,Yes,Unknown,Group,
Daisy,Asteraceae,Cassinia,quinquefaria,Dogwood,Yes,Unknown,Group,
Daisy,Asteraceae,Cassinia,sifton,"Sifton bush, Chinese Shrub ",Yes,Unknown,CNM,
Daisy,Asteraceae,Chondrilla*,juncea,Skeleton Weed,No,Unknown,Group,
